"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","percent.rRNA","percent.protein","sample_name","original_sample_name","Batch","Cell_type","Compartment","Species","sampling_type","treatment","ERCC","Sequencer","Sequencing_run","Sequencing_protocol","i5_index","i7_index","cDNA_profile","cDNA_concentration","trial","Date","Probe","Cell_NO","Extract_NO","Note","Volume_preloaded_buffer_fl","Volume_extract_and_preload_fl","Volume_cell_extract_fl","Extraction_time_h","library_concentration","mCherry_TNFa","double_extraction","double_extraction_order","celltype_treatment","input.reads","ave.read.len","uniquely.mapped","multiple.mapped","too.many.mapped","too.many.mismatches","too.short","others","mCherry.log.intercept","mCherry.log.slope","mCherry.AUC","sample_ID"
"G9_LPS_G4","G9",370829,7574,5.82937148928482,12.8628019922929,78.9094164695857,"G9_LPS_G4","G9_LPS_G4","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.4","pass",2.305268336,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",672465,74,514214,0,131991,0,3.5,0.41,NA,NA,NA,"sample29"
"G9_LPS_C7","G9",370214,7831,8.4788797830444,11.457427325817,78.2039577109456,"G9_LPS_C7","G9_LPS_C7","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.7","pass",1.213232328,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",665947,74,508473,0,126444,0,4.25,0.41,NA,NA,NA,"sample30"
"G9_LPS_C11","G9",464614,7542,7.83510613111099,11.5474350751376,78.3149022629538,"G9_LPS_C11","G9_LPS_C11","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.11","pass",1.151251906,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",846837,74,646968,0,162149,0,4,0.45,NA,NA,NA,"sample31"
"IBA_C10","IBA",454452,9663,6.6088387772526,17.3382447431192,74.7357256651968,"IBA_C10","IBA_C10","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.36","pass",4.414881694,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",872964,73,673918,0,166220,0,3.47,0.29,NA,NA,NA,"sample32"
"IBA_B3","IBA",319240,9642,5.22083698784613,5.89462473374264,88.7861796767322,"IBA_B3","IBA_B3","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S518","Ad2.29","pass",2.244894147,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",500317,73,396219,0,81648,0,4.14,0.34,NA,NA,NA,"sample33"
"IBA_D7","IBA",397559,9586,6.71170819928614,9.86218397772406,83.6678329505809,"IBA_D7","IBA_D7","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S516","Ad2.33","pass",2.869338196,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",675851,74,519771,0,128416,0,3.78,0.31,NA,NA,NA,"sample34"
"Live_seq_exp7_155","Live",690880,3529,6.37722904122279,9.86408638258453,80.407885595183,"Live_seq_exp7_155","Live_seq_exp7_50","7","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S504","Ad2.23","",0.577618277,"no","20190326","_10 10-03",NA,NA,"",228,1102,874,"","","low","",NA,"Raw264.7_not_treated",1277835,74,927488,0,255045,0,4.86,2.6,10.4543537500094,0.100818677144699,156868.46842,"sample35"
"Live_seq_exp7_121","Live",995862,5880,4.7065758107047,7.37220618921095,86.4966230260819,"Live_seq_exp7_121","Live_seq_exp7_121","scRNA","IBA","cytoplasm","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S506","Ad2.13","",0.869729086,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",1623388,74,1292751,0,259513,0,2.81,1.57,NA,NA,NA,"sample36"
"IBA_F10","IBA",483106,9301,9.12863843545723,15.3328669070556,75.3822142552566,"IBA_F10","IBA_F10","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.36","pass",2.151939157,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",889101,74,688235,0,171644,0,3.03,0.25,NA,NA,NA,"sample37"
"IBA_E3","IBA",414399,9620,8.69982794360025,10.5280176834404,80.136052451864,"IBA_E3","IBA_E3","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.29","pass",3.147313645,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",708322,74,549197,0,129573,0,3.86,0.31,NA,NA,NA,"sample38"
