,orig.ident,Extract_NO,Probe,Cell_NO,sample_name,original_sample_name,Cell_type,Batch,Volume.extract,Cell treatment
Live_seq_exp7_152,Live,NA,_10 11-23,NA,Live_seq_exp7_152,Live_seq_exp7_28,Raw264.7_G9,7,0.52,
Live_seq_exp7_127,Live,NA,_10 11-34,NA,Live_seq_exp7_127,Live_seq_exp7_3,Raw264.7_G9,7,1.19,
Live_seq_exp7_145,Live,NA,_10 11-34,NA,Live_seq_exp7_145,Live_seq_exp7_2,Raw264.7_G9,7,0.88,
Live_seq_exp7_30,Live,30,_10 11-24,NA,Live_seq_exp7_30,Live_seq_exp7_30,Raw264.7_G9,7,1.05,
Live_seq_exp7_154,Live,NA,_10 11-24,NA,Live_seq_exp7_154,Live_seq_exp7_32,Raw264.7_G9,7,1.22,
Live_seq_exp7_7,Live,7,_10 11-30,NA,Live_seq_exp7_7,Live_seq_exp7_7,Raw264.7_G9,7,0.96,
Live_seq_exp7_92,Live,92,_11 14-03,NA,Live_seq_exp7_92,Live_seq_exp7_92,IBA,7,1.01,
Live_seq_exp7_113,Live,NA,_10 09-39,NA,Live_seq_exp7_113,Live_seq_exp7_64,IBA,7,1.18,
Live_seq_exp7_133,Live,NA,_10 09-12,NA,Live_seq_exp7_133,Live_seq_exp7_46,Raw264.7_G9,7,1.17,
Live_seq_exp7_146,Live,NA,_10 11-30,NA,Live_seq_exp7_146,Live_seq_exp7_9,Raw264.7_G9,7,0.83,
Live_seq_exp7_85,Live,85,_11 14-01,NA,Live_seq_exp7_85,Live_seq_exp7_85,IBA,7,2.71,
Live_seq_exp7_115,Live,NA,_11 14-01,NA,Live_seq_exp7_115,Live_seq_exp7_80,IBA,7,1.17,
Live_seq_exp7_4,Live,4,_10 11-34,NA,Live_seq_exp7_4,Live_seq_exp7_4,Raw264.7_G9,7,1.44,
Live_seq_exp7_43,Live,43,_10 11-23,NA,Live_seq_exp7_43,Live_seq_exp7_43,Raw264.7_G9,7,0.66,
Live_seq_exp7_153,Live,NA,_10 11-24,NA,Live_seq_exp7_153,Live_seq_exp7_31,Raw264.7_G9,7,0.93,
Live_seq_exp7_112,Live,NA,_10 10-37,NA,Live_seq_exp7_112,Live_seq_exp7_62,IBA,7,1.49,
Live_seq_exp7_111,Live,NA,_10 10-37,NA,Live_seq_exp7_111,Live_seq_exp7_60,IBA,7,1.38,
Live_seq_exp7_156,Live,NA,_11 06-15,NA,Live_seq_exp7_156,Live_seq_exp7_99,Raw264.7_G9,7,0.84,
Live_seq_exp7_79,Live,79,_11 14-35,NA,Live_seq_exp7_79,Live_seq_exp7_79,Raw264.7_G9,7,1.07,
Live_seq_exp7_48,Live,48,_10 09-12,NA,Live_seq_exp7_48,Live_seq_exp7_48,Raw264.7_G9,7,0.89,
Live_seq_exp7_100,Live,100,_11 06-15,NA,Live_seq_exp7_100,Live_seq_exp7_100,Raw264.7_G9,7,0.6,
Live_seq_exp7_40,Live,40,_10 11-24,NA,Live_seq_exp7_40,Live_seq_exp7_40,Raw264.7_G9,7,0.08,
Live_seq_exp7_75,Live,75,_11 14-35,NA,Live_seq_exp7_75,Live_seq_exp7_75,Raw264.7_G9,7,1.36,
Live_seq_exp7_33,Live,33,_10 11-24,NA,Live_seq_exp7_33,Live_seq_exp7_33,Raw264.7_G9,7,0.83,
